Level Selction Distribution
vg2-6;4270
v7-3;4294
vg1-3a;4302
vc4a-3;4311
v5b-12;4320
vi4-6;4320
v2d-8;4322
v5a-16;4326
vc3-1;4328
vg9-5;4330
vi1-1;4336
v4c-6;4336
vg9-8;4336
vg2-10;4338
vc4b-5;4342
v7-11;4347
vc5b-6;4347
vg3-4;4349
v3d-9;4352
v4a-15;4354
vc5a-2;4359
v5bxd-6;4360
v3d-12;4362
v2-14;4362
vc2-9;4364
v3-5;4364
v5c-10;4366
v2xu-5;4368
vc6-9;4368
vc5a-4;4369
vc4b-8;4370
v2-16;4372
v5bxu-9;4372
vc5b-1;4374
v4c-14;4374
vc1-6;4380
v6-18;4380
vi2-3;4380
vg5-6;4380
vg1-9a;4382
v7-13;4384
v4c-11;4384
v3-16;4386
vi2-4;4388
v5c-2;4388
vi5-4;4390
v5c-8;4392
v2-7;4394
vg3-7;4394
v4b-2;4394
vc2-1;4398
v4b-10;4398
v1-18;4398
v5bxd-7;4398
v3-4;4400
vg3-10;4400
v3d-14;4402
v5a-9;4402
vg1-4;4404
v6-15;4404
v2-9;4404
vg5-10;4404
vg1-3;4408
v5a-15;4408
vc4a-8;4408
vc4a-9;4408
v4a-9;4408
v3-1;4408
vg4-4;4408
v1d-18;4412
v4b-1a;4412
vc3-6;4412
vc4a-4;4412
vg2-1;4414
vc2-5;4414
vc2-4;4414
v1-19;4414
v2d-12;4414
vg3-3;4414
vc5b-10;4416
v1d-20;4416
v2-4;4418
vc3-4;4418
v1d-13;4420
vg5-9;4420
v4c-9;4422
v1d-7;4422
v4b-1;4422
vc6-4;4422
v5c-17;4422
v1-10;4422
v1-13;4424
v4c-12;4424
v6-5;4426
vc2-2;4426
v7-2;4426
vc5c-6;4426
v1d-17;4428
vc4c-3;4428
v6-19;4428
vc5c-8;4430
vc6-3;4430
vi1-8;4430
v4b-4;4430
v1d-10;4430
vc5b-3;4431
vi3-2;4432
vg5-5;4432
v5b-20;4432
v2d-9;4432
vc4a-6;4434
v3d-20;4434
vg0-2;4434
vc4c-10;4434
vc1-9;4434
vg0-4;4436
v4a-14;4436
vc6-10;4436
v1-6;4436
v6-14;4436
vc1-1;4438
v6-17;4438
vg9-2;4438
v1-20;4438
vg9-9;4438
vg1-1;4438
vi5-2;4438
vg1-9;4440
vc4c-7;4440
vg2-4;4442
v5a-8;4442
vg0-10;4444
v2d-6;4444
v5a-18;4444
vg9-7;4444
vi4-1;4446
vc5a-8;4446
v6-3;4446
vg3-5;4446
v5c-20;4448
v2d-11;4450
vc5b-7;4450
v4a-10;4450
v2d-15;4452
vg1-2;4452
vc3-3;4452
vc4a-5;4452
v3d-7;4454
vc1-8;4454
v1-17;4454
vc5a-9;4454
vg3-8;4454
v5c-18;4458
v1d-4;4458
vc4c-4;4458
v5c-3;4458
v3-12;4460
v5bxd-8;4460
vg1-7;4460
v1-16;4460
v3-10;4462
vg2-3;4462
v1d-6;4463
vc3-5;4464
vi5-1;4464
v3d-3;4464
v3-15;4464
v7-12;4464
v6-13;4464
v4b-14;4466
v3d-19;4466
v6-6;4466
vc4c-6;4466
v1d-19;4466
vg1-8a;4468
v6-10;4468
v2d-19;4468
v2d-16;4468
v3d-6;4470
v3-17;4470
v2-1;4470
vg9-0;4470
vc5c-7;4470
vi1-6;4472
v2-19;4472
v1-7;4472
vg3-9;4472
v3-3;4474
v2-2;4474
v2-8;4474
vc1-10;4474
vg4-2;4474
vi4-4;4474
vg3-1;4474
v1d-16;4474
vg0-9;4476
v4b-6;4478
vg0-1;4478
v4b-11;4478
v3-20;4478
v2-6;4480
v4c-13;4480
v2d-17;4480
v4a-12;4480
vg9-3;4482
vg1-2a;4482
v6-7;4482
vc4c-9;4484
vg0-6;4484
vc5c-2;4485
vg9-6;4486
vg9-1;4486
v3-6;4486
vc5b-2;4486
vc6-8;4486
v3-14;4486
vi4-5;4486
v4a-8;4488
vg5-4;4488
v6-4;4488
vc6-1;4488
v3d-2;4488
v5b-16;4490
vi2-2;4490
v6-16;4490
v5a-10;4490
v5a-17;4490
v1-8;4492
v2d-1;4492
v1d-9;4492
v1xd-4;4494
v5c-16;4494
vg5-1;4494
v2-11;4494
v4c-5;4494
vc4a-10;4496
v3d-13;4496
vg2-7;4498
v2d-3;4498
vc5b-8;4498
vg4-7;4498
v1d-8;4498
v4a-5;4500
v2-15;4500
v1d-3;4501
vi4-3;4502
v5b-22;4502
v3d-1;4504
v4a-7;4504
v1-4;4504
v3d-18;4504
vc4b-7;4506
vg1-4a;4506
vc4b-6;4506
v4c-7;4506
vc5a-3;4506
vc5a-10;4507
v7-5;4508
v3-11;4508
v2-5;4508
v7-14;4508
vg4-3;4508
v5a-3;4509
v3-13;4510
vi3-5;4510
vi3-3;4510
v4b-8;4510
